barcode,series,control_symbol,title,start_date,end_date,access_status,location,digitised_status,digitised_pages
171899,A6119,608,Donald Stewart Francis WOODWARD,,1961,Open,Canberra,False,0
217124,A6119,45,CONSIDINE Michael MP,1922,1922,Open,Canberra,True,11
217135,A6119,31,Hugh Grant,1940,1941,Open,Canberra,False,0
240729,A6119,4,Doctor Michael BIALOGUSKI - Miscellaneous papers,1952,1954,Open,Canberra,True,1
240730,A6119,5,"GOTT, Kenneth Davidson",,1953,Open,Canberra,False,0
240733,A6119,13,"BURCHETT, Wilfred Graham.",1952,1953,Open,Canberra,True,1
240734,A6119,13 ATTACHMENT,"BURCHETT, Wilfred Graham - Monitoring reports ex UNC.",1951,1953,Open,Canberra,True,209
240735,A6119,14,"BURCHETT, Wilfred Graham.",1953,1954,Open,Canberra,True,1
240736,A6119,15,"BURCHETT, Wilfred Graham.",1951,1954,Not,Canberra,False,0
240737,A6119,16,"BURCHETT, Wilfred Graham.",1954,1954,Open,Canberra,True,1
240744,A6119,24,"KISCH, Egon Erwin.",1934,1962,Open,Canberra,True,77
240745,A6119,25,"STOLZ, Johannes Julius (Pastor)",1934,1943,Open,Canberra,False,0
240746,A6119,26,"ZWAR, Max Immanuel Theodore.",1942,1945,Open,Canberra,False,0
240747,A6119,28,S.S. Canberra - Adela WALSH nee PANKHURST,1944,1944,Open,Canberra,True,1
240748,A6119,29,"KERENSKY, Nell",1939,1945,Open,Canberra,False,0
240749,A6119,30,"RODJESTVENSKY, Ivan Pavlovich.",1942,1949,Open,Canberra,False,0
240750,A6119,32,"SINGER, Kurt",1940,1947,Open,Canberra,False,0
240751,A6119,33,"FARRELL, Ralph Barstow",1947,1947,Open,Canberra,False,0
270740,A6119,52,"MORRIS, David John, Part 1",1946,1954,Not,Canberra,False,0
270741,A6119,77,Herbert Bovyll CHANDLER. Vol 7.,1954,1954,Open,Canberra,False,0
270742,A6119,76,Herbert Bovyll CHANDLER. Vol. 6,1953,1954,Open,Canberra,False,0
270744,A6119,71,Herbert Bovyll CHANDLER. Vol. 1,1942,1950,Open,Canberra,False,0
270745,A6119,72,Herbert Bovyll CHANDLER. Vol 2.,1950,1953,Open,Canberra,False,0
270746,A6119,74,"CHANDLER, Herbert Bovyll - Volumel 4",1952,1953,Closed,Canberra,False,0
270747,A6119,78,John Williamson LEGGE - Volume 1,1940,1952,Open,Canberra,False,0
270748,A6119,79,John Williamson LEGGE - Volume 2,1952,1954,Open,Canberra,False,0
270749,A6119,80,John Williamson LEGGE - Volume 3,1938,1954,Open,Canberra,False,0
270754,A6119,81,Gordon Robert BIRT,1942,1954,Open,Canberra,False,0
270755,A6119,73,"CHANDLER, Herbert, Bovyll - Volume 3",1953,1953,Closed,Canberra,False,0
270759,A6119,94,Nina CHRISTESEN [and Clem CHRISTESEN],1949,1954,Closed,Canberra,False,0
270761,A6119,86,"MORROW, William Robert - Volume 3.",1954,1956,Open,Canberra,False,0
270762,A6119,87,"SHEPPARD, Alexander William - ASIO file - Volume 1 [167pp]",1949,1954,Open,Canberra,True,209
270763,A6119,88,"SHEPPARD, Alexander William - ASIO file - Volume 2 [100pp]",1949,1958,Open,Canberra,True,162
270764,A6119,82,"DARK, Dr Eric Paytton - Part 1",1940,1961,Open,Canberra,True,61
270765,A6119,83,"BROWNE, Francis Courtney [71 pp]",1943,1952,Open,Canberra,True,138
270766,A6119,89,"WOOD, William Arnold Whitfield. Volume 1 Part 1",1941,1954,Open,Canberra,True,103
270767,A6119,84,"MORROW, William Robert Volume 1",1940,1953,Open,Canberra,False,0
270768,A6119,85,"MORROW, William Robert -  Volume 2",1953,1953,Open,Canberra,False,0
270769,A6119,46,CALLAGHAN John Pierce,1946,1953,Open,Canberra,False,0
270770,A6119,47,RUDKIN Arthur William,1932,1953,Open,Canberra,True,178
270771,A6119,48,"KAISER, Thomas Reeve.",1946,1954,Open,Canberra,False,0
270772,A6119,51,SMITH-WHITE Spencer,1947,1954,Open,Canberra,False,0
270773,A6119,49,"RICHARDSON, Alan McDonald",1946,1954,Open,Canberra,False,0
272503,A6119,96,Ric Prichard THROSSELL Volume 2.,1954,1954,Closed,Canberra,False,0
272504,A6119,97,Ric Prichard THROSSELL Supplementary Volume.,1948,1954,Open,Canberra,False,0
273727,A6119,63,"MORRIS, David John. Statutory declaration by Maurice KELLY, State Secretary, Legion of Ex-Servicemen and Women, Victorian Branch.",,1955,Open,Canberra,True,133
273728,A6119,110,Jacob Lauder RAITH,1931,1943,Open,Canberra,False,0
273729,A6119,44 PART 2,"THROSSELL,  Katharine [Katherine] Susannah nee PRICHARD [PRITCHARD] - Volume 3 Part 2 (folios 21 to 100)",1949,1953,Open,Canberra,False,0
273730,A6119,42,"THROSSELL,  Katharine [Katherine Susannah] nee PRICHARD [PRITCHARD] - Volume 1",1919,1940,Open,Canberra,True,127
273732,A6119,101,"WATEN, Judah Leon Part 1",1928,1953,Open,Canberra,True,179
273733,A6119,100,"SHER, Israel",1924,1952,Open,Canberra,False,0
273736,A6119,37 PART 2,Isaac GUST - Volume 1 - Part 2,1949,1955,Open,Canberra,False,0
273737,A6119,37 PART 1,Isaac GUST - Volume 1 - Part 1,1928,1948,Open,Canberra,False,0
273739,A6119,112,"Janet Gertrude (Nettie) PALMER, Vance Edward PALMER",1948,1954,Open,Canberra,True,39
273744,A6119,106,Jane AARONS,1932,1951,Open,Canberra,True,29
273746,A6119,104,"SALOMON, Horst Egon.",1940,1953,Open,Canberra,True,23
273750,A6119,1,Doctor Michael BIALOGUSKI - Volume 1,1945,1955,Open,Canberra,True,1
